Title,Score,Release Year,Company
Dave the Diver,86%,2023,MINTROCKET
Death Mark II,86%,2022,Experience Inc.
Downwell,86%,2019,Moppin
Dragon Quest Builders 2,86%,2018,Omega Force
Drainus,86%,2023,Team Ladybug
Earthion,86%,2025,Ancient Co. Ltd.
Ender Lilies: Quietus of the Knights,86%,2021,ADGLOBE Inc.
Final Fantasy IX,86%,2019,"Square Co., Ltd."
Fuga: Melodies of Steel 2,86%,2023,"CyberConnect2 Co., Ltd."
Guacamelee! 2,86%,2018,DrinkBox Studios Inc.
Gunvolt Chronicles: Luminous Avenger iX,86%,2019,"Inti Creates Co., Ltd."
Horace,86%,2020,
Hotline Miami / Hotline Miami 2: Wrong Number,86%,2019,Dennaton Games
Ironcast,86%,2017,Polygon Hearts Ltd.
Katamari Damacy: Reroll,86%,2018,MONKEYCRAFT Co. Ltd.
Killer Queen Black,86%,2019,"Liquid Bit, LLC"
Mario + Rabbids: Sparks of Hope,86%,2022,Ubisoft Studios SRL
Mega Man 11,86%,2018,"Capcom Co., Ltd."
Mega Man X: Legacy Collection,86%,2018,
Mini Metro,86%,2018,Dinosaur Polo Club Limited
NieR: Automata (Game of the YoRHa Edition),86%,2022,PlatinumGames Inc.
OneShot,86%,2022,Team Oneshot
Oxenfree,86%,2017,"Night School Studio, LLC"
Pikmin 4,86%,2023,Nintendo EPD
qomp2,86%,2024,"Graphite Lab, LLC"
Shantae: 1/2 Genie Hero - Ultimate Edition,86%,2018,"WayForward Technologies, Inc."
Shin Megami Tensei III: Nocturne - HD Remaster,86%,2020,"Atlus Co., Ltd."
Shin Megami Tensei V,86%,2021,"Atlus Co., Ltd."
Sonic Mania,86%,2017,Headcannon
Spelunky,86%,2021,"Mossmouth, LLC"
Splatoon 3,86%,2022,Nintendo EPD
Steins;Gate Elite,86%,2018,Chiyo St. Inc.
Super Mario Galaxy + Super Mario Galaxy 2,86%,2025,
Tactics Ogre: Reborn,86%,2022,"Square Enix Co., Ltd."
The Legend of Heroes: Trails of Cold Steel III,86%,2020,Nihon Falcom Corp.
The Legend of Zelda: Echoes of Wisdom,86%,2024,Nintendo EPD
The Legend of Zelda: Link's Awakening,86%,2019,"Grezzo Co., Ltd."
The Talos Principle,86%,2019,Croteam
Thronebreaker: The Witcher Tales,86%,2020,CD Projekt RED
Tokyo Mirage Sessions ♯FE: Encore,86%,2020,"Atlus Co., Ltd."
Tunic,86%,2022,Isometricorp Games Ltd.
Two Point Hospital: Jumbo Edition,86%,2021,
Undernauts: Labyrinth of Yomi,86%,2020,Experience Inc.
Warframe,86%,2018,"Digital Extremes, Inc."
Wargroove,86%,2019,Chucklefish Ltd.
Wargroove,86%,2019,Chucklefish Ltd.
Yooka-Laylee and the Impossible Lair,86%,2019,Playtonic Limited
1000xRESIST,87%,2024,sunset visitor
AI: The Somnium Files,87%,2019,"Spike Chunsoft Co., Ltd."
Alien: Isolation,87%,2019,Feral Interactive Ltd.
Ball x Pit,87%,2025,
Bayonetta,87%,2018,PlatinumGames Inc.
Blaster Master Zero III,87%,2021,"Inti Creates Co., Ltd."
Crypt of the NecroDancer,87%,2018,Brace Yourself Games
Disgaea 5: Complete,87%,2017,"Nippon Ichi Software, Inc."
